"No.","Time","Source","Destination","Protocol","Length","Info"
"112","180.011471","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"113","180.363359","0c:0d:d2:f5:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A PARTNER 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG**"
"114","184.251329","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"115","187.741619","0c:68:02:cc:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"116","188.559583","0c:68:02:cc:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"117","189.839774","0c:5b:73:54:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"118","189.880234","0c:bb:fa:db:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"119","189.880394","0c:bb:fa:db:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"120","190.010224","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"121","190.613060","0c:5b:50:82:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"122","192.903594","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"123","192.903639","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"124","193.198583","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"125","193.198622","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"126","193.920801","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"127","194.260938","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"128","200.008476","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"129","204.072329","0c:5b:73:54:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG** PARTNER 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A"
"130","204.260426","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"131","207.708599","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"132","209.099251","0c:0d:d2:f5:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A PARTNER 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG**"
"133","210.006952","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"134","214.258763","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
